11:09:27, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:09:52, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:10:17, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:10:42, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:11:08, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:11:33, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:11:58, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:12:23, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:12:48, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:13:13, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:13:38, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:14:03, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:14:28, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:14:53, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:15:19, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:15:44, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:16:09, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:16:34, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:16:59, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:17:24, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:17:49, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
